#	Player	Team	GP	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	ORB	DRB	REB	AST	STL	BLK	TOV	PF	
1	LeBron James *	-	1421	54,095.5	38,652	14,152	28,043	.505	2,261	6,563	.345	8,087	11,000	.735	1,666	9,001	10,667	10,420	2,186	1,073	4,966	2,604	
2	Kareem Abdul-Jabbar	-	1560	57,446.0	38,387	15,837	28,307	.559	1	18	.056	6,712	9,304	.721	2,975	9,393	17,439	5,660	1,160	3,189	2,527	4,657	
3	Karl Malone	-	1476	54,853.0	36,928	13,528	26,210	.516	85	310	.274	9,787	13,188	.742	3,562	11,406	14,968	5,248	2,085	1,143	4,524	4,577	
4	Kobe Bryant	LAL	1346	48,638.4	33,643	11,719	26,200	.447	1,827	5,546	.329	8,378	10,011	.837	1,499	5,548	7,047	6,306	1,944	640	4,010	3,353	
5	Michael Jordan	-	1072	41,013.0	32,292	12,192	24,537	.497	581	1,778	.327	7,327	8,772	.835	1,668	5,004	6,672	5,633	2,514	893	2,924	2,783	
6	Dirk Nowitzki	DAL	1522	51,371.7	31,560	11,169	23,734	.471	1,982	5,210	.380	7,240	8,239	.879	1,468	10,021	11,489	3,651	1,210	1,281	2,494	3,601	
7	Wilt Chamberlain	-	1045	47,859.0	31,419	12,681	23,497	.540	0	0	.000	6,057	11,862	.511	0	0	23,924	4,643	0	0	0	2,075	
8	Shaquille O'Neal	-	1207	41,916.9	28,596	11,330	19,457	.582	1	22	.045	5,935	11,252	.527	4,209	8,890	13,099	3,026	739	2,732	3,310	4,146	
9	Carmelo Anthony	-	1260	43,512.7	28,289	10,119	22,643	.447	1,731	4,873	.355	6,320	7,764	.814	1,983	5,825	7,808	3,422	1,223	644	3,052	3,543	
10	Moses Malone	-	1329	45,059.0	27,407	9,435	19,225	.491	8	80	.100	8,529	11,088	.769	6,731	9,481	16,212	1,797	1,090	1,733	3,800	3,076	
11	Elvin Hayes	-	1303	50,000.0	27,313	10,976	24,272	.452	5	34	.147	5,356	7,999	.670	2,778	6,973	16,279	2,398	864	1,771	1,358	4,193	
12	Hakeem Olajuwon	-	1238	44,222.0	26,946	10,749	20,991	.512	25	124	.202	5,423	7,620	.712	4,034	9,714	13,748	3,057	2,163	3,825	3,668	4,384	
13	Kevin Durant *	-	986	36,179.9	26,892	9,199	18,439	.499	1,863	4,840	.385	6,631	7,487	.886	676	6,283	6,959	4,267	1,055	1,105	3,120	1,900	
14	Oscar Robertson	-	1040	43,886.0	26,710	9,508	19,620	.485	0	0	.000	7,694	9,185	.838	71	208	7,804	9,887	77	4	0	2,931	
15	Dominique Wilkins	-	1074	38,113.0	26,668	9,963	21,589	.461	711	2,232	.319	6,031	7,438	.811	2,944	4,223	7,167	2,677	1,378	644	2,670	2,061	
16	Tim Duncan	SAS	1392	47,362.3	26,496	10,285	20,334	.506	30	168	.179	5,896	8,468	.696	3,859	11,232	15,091	4,225	1,025	3,020	3,381	3,304	
17	Paul Pierce	-	1343	45,877.4	26,397	8,668	19,465	.445	2,143	5,816	.368	6,918	8,578	.806	1,092	6,435	7,527	4,708	1,752	746	3,532	3,643	
18	John Havlicek	BOS	1270	46,471.0	26,395	10,513	23,930	.439	0	0	.000	5,369	6,589	.815	610	1,389	8,007	6,114	476	117	204	3,281	
19	Kevin Garnett	-	1462	50,418.2	26,071	10,505	21,142	.497	174	632	.275	4,887	6,190	.789	3,209	11,453	14,662	5,445	1,859	2,036	3,179	3,560	
20	Vince Carter	-	1541	46,368.6	25,728	9,293	21,339	.435	2,290	6,168	.371	4,852	6,082	.798	1,658	4,948	6,606	4,714	1,530	888	2,590	3,995	
21	Alex English	-	1193	38,054.0	25,613	10,659	21,037	.507	18	83	.217	4,277	5,141	.832	2,782	3,759	6,541	4,348	1,064	833	2,818	3,027	
22	Reggie Miller	IND	1389	47,620.0	25,279	8,241	17,499	.471	2,560	6,486	.395	6,237	7,026	.888	883	3,299	4,182	4,141	1,505	299	2,412	2,731	
23	Jerry West	LAL	932	36,571.0	25,192	9,016	19,032	.474	0	0	.000	7,160	8,801	.814	30	86	5,366	6,238	81	23	0	2,435	
24	Patrick Ewing	-	1183	40,594.0	24,815	9,702	19,242	.504	19	125	.152	5,392	7,289	.740	2,752	8,855	11,607	2,215	1,136	2,893	3,533	4,034	
25	James Harden *	-	1000	34,750.8	24,693	7,291	16,493	.442	2,754	7,594	.363	7,357	8,556	.860	782	4,866	5,648	7,015	1,520	543	3,734	2,568	
26	Ray Allen	-	1300	46,344.0	24,505	8,567	18,955	.452	2,973	7,429	.400	4,398	4,920	.894	1,230	4,042	5,272	4,361	1,451	243	2,709	2,858	
27	Russell Westbrook *	-	1094	37,550.0	24,457	8,754	19,996	.438	1,231	4,032	.305	5,718	7,352	.778	1,779	6,185	7,964	9,162	1,775	346	4,443	2,848	
